Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
1.01964E-07;68.4;31.8;30.9;88.9;1.38812E-07;68.4;31.8;31.1;89;1.59363E-07;68.4;31.5;30.8;88.9
-6.29836E-13;69.1;39.7;37.2;86.5;-1.68236E-12;69.1;39.7;37.7;86.6;-1.92247E-12;69.1;39.7;37.4;86.6
2.32094E-08;68.1;27.9;26.6;87.7;2.1652E-08;67.9;27.9;26.4;87.6;2.86255E-08;68;23.9;26.7;87.6
2.31276E-08;66.5;23.2;26;87.7;3.90981E-08;68.2;23.2;25.8;87.8;4.4707E-08;68.3;22.8;25.9;87.8
2.93E-08;67.4;22.8;26;87.8;3.60194E-08;68.4;22.8;25.5;87.8;4.10062E-08;68.5;22.4;25.6;87.8
-6.29836E-14;67.5;22.9;26;84;-8.41182E-14;68.4;22.9;25.4;83.9;-9.61234E-14;68.4;22.3;25.4;83.9
0;67.4;22.7;25.5;80.1;8.41182E-17;68.3;22.7;24.9;80;0;68.4;22.2;25;80
0;67.4;22.6;25.1;76.4;0;68.3;22.6;24.6;76.3;0;68.3;22.1;24.6;76.3
3.23421E-08;65.9;27.1;25.8;86.8;4.65762E-08;66.4;27.1;25.8;86.8;4.94651E-08;66.3;27;25.7;86.8
1.99469E-08;65.1;23.1;26;87.6;2.65645E-08;65.4;23.1;26.1;87.7;3.03558E-08;65.3;23;25.9;87.6
2.92118E-08;66.7;22.9;26.1;87.8;3.57923E-08;66.8;22.9;25.9;87.8;4.46493E-08;66.8;22.8;26;87.8
2.43306E-08;67.5;22.6;25.9;87.8;3.58259E-08;67.6;22.6;26;87.8;3.71709E-08;67.6;22.5;25.9;87.8
1.20595E-07;68.7;27.8;27.6;89.1;1.57957E-07;68.7;27.8;27.4;89.1;1.84096E-07;68.7;27.8;27.6;89.1
7.39553E-08;68.5;24.6;26.7;88.9;1.0482E-07;68.5;24.6;26.7;89;1.12993E-07;68.5;24.6;26.7;88.9
9.71774E-08;68.8;26.3;26;89.1;1.22484E-07;68.4;26.3;26.4;89;1.48328E-07;68.8;26.3;25.9;89.1
1.19543E-08;67.3;27.5;25.6;88;1.84471E-08;68.6;27.5;25.4;88;1.82634E-08;67.3;27.4;25.6;88
2.0772E-08;66.2;22.8;25.9;87.9;3.08798E-08;67.1;22.8;26;88;3.17111E-08;66.2;22.8;25.8;87.9
1.1902E-07;68.3;25.6;27.6;89.1;1.58008E-07;68.5;25.6;27.4;89.1;1.81673E-07;68.3;25.5;27.6;89.1
