Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
0;45.6;35.8;73.5;119;9.28497E-19;46.4;35.8;65.9;76.2;0;44.8;44.2;34.8;44.7
0;44.5;35.3;70.3;113;9.28497E-18;45.3;35.3;63.1;72.7;0;43.8;43.5;33.9;43.2
0;43.5;34.8;67.2;107;0;44.2;34.8;60.5;69.5;0;42.8;42.7;33;41.8
2.38614E-07;68.1;43.7;-86.8;8968;3.26629E-07;57.4;43.7;57.7;590;4.0668E-07;62.1;29;52.3;627
1.77147E-07;68.2;43.8;-30.3;6570;1.71438E-07;63.1;43.8;42.2;90;7.69765E-08;68.6;17.8;21;89.9
1.09002E-07;67.5;43.5;30.3;1937;6.93438E-08;66.9;43.5;35.9;94.4;4.17035E-08;69.2;34.1;34.7;89.9
9.17039E-09;69.6;43.9;44.3;90.6;3.497E-08;68.2;43.9;43.9;90.7;3.043E-08;69.5;43.7;44.1;89.9
2.54809E-08;68.3;52;53.9;110;1.33731E-08;69.7;52;53.2;89.8;1.53751E-08;69.6;54.1;54.6;89.7
2.41703E-12;68.7;60.5;61.6;88.8;5.54313E-10;69;60.5;57.7;88.3;1.77149E-12;68.4;58.8;59.7;87.1
1.27947E-08;56.9;46.6;68.6;106;1.85699E-15;67.1;46.6;55.5;84.6;1.36268E-16;66.5;57.6;57.4;83.3
1.7206E-12;39.4;25;83;135;0;65.2;25;53.4;80.7;0;64.6;56.3;55.1;79.5
1.8247E-08;39.9;25.6;83;137;0;63.4;25.6;51.3;77;0;62.7;55.2;53;75.9
2.64878E-08;41.3;27.2;83.5;139;0;61.6;27.2;49.4;73.5;0;61;54.1;50.9;72.5
2.91588E-08;42.6;28.9;83.8;140;0;59.9;28.9;47.6;70.3;0;59.3;53;49;69.3
5.66569E-08;42.3;28.5;82.4;140;0;58.1;28.5;45.8;67;0;57.6;51.9;47.2;66.1
1.69811E-08;45.8;33.1;84.4;139;0;56.5;33.1;44.2;64.2;0;56;51;45.5;63.3
4.44402E-08;44.5;31.3;83.1;140;5.15733E-08;50.5;31.3;70.6;88.1;0;54.5;50;43.9;60.6
3.54079E-08;43.8;30.4;83.5;140;3.94769E-08;50.9;30.4;71;88.2;0;53.1;49.1;42.4;58.1
5.44086E-08;45.7;32.8;82.9;141;1.58077E-08;52.5;32.8;70;87.7;0;51.7;48.2;41;55.8
5.50117E-08;45.5;32.7;82.6;140;4.676E-08;52.3;32.7;69.9;88.9;0;50.4;47.3;39.7;53.6
6.31886E-08;45.7;33;82.1;140;7.70207E-08;48.9;33;73.7;90.6;0;49.1;46.4;38.4;51.5
2.13027E-12;47;35;84.1;137;2.69264E-11;50.3;35;73.1;87.2;0;47.9;45.6;37.3;49.6
-1.229E-14;45.9;34.5;80.2;129;9.28497E-14;49;34.5;69.8;83.2;0;46.8;44.8;36.2;47.7
4.09667E-17;44.8;34;76.5;122;-2.78549E-16;47.8;34;66.8;79.3;0;45.7;44;35.1;46
0;43.8;33.6;73;116;0;46.7;33.6;63.9;75.6;0;44.6;43.3;34.1;44.4
0;42.8;33.1;69.8;110;0;45.6;33.1;61.3;72.2;0;43.6;42.6;33.2;42.9
0;41.8;32.7;66.8;104;0;44.5;32.7;58.7;69;0;42.6;41.9;32.4;41.5
2.73292E-07;68.6;44.5;-162.7;10286;3.54702E-07;56;44.5;57.4;960;4.40732E-07;60.9;29.7;52.2;966
1.86365E-07;68.9;46.5;-32.1;6571;2.08058E-07;60.5;46.5;47.9;90;2.4274E-07;64.4;26;43;90
1.39639E-07;67.6;47.2;24.6;3019;9.11663E-08;66.4;47.2;36.2;101;4.30921E-08;69.2;32.9;33.5;89.9
6.49485E-09;69.7;48.5;49.2;91.9;3.81371E-08;68.5;48.5;43;92.5;5.34689E-08;69.1;41.9;35.2;256
2.22924E-08;62.5;49.7;62.2;104;1.37715E-08;69.7;49.7;52.7;89.8;1.74996E-08;69.7;53.8;54.1;90
1.96914E-08;41.5;27.3;84.4;140;1.97473E-08;64.5;27.3;57.5;95.1;5.9958E-12;68.6;60;60.9;88.6
2.00229E-08;41.4;27.3;84.2;140;2.21911E-11;39.6;27.3;83.2;118;1.36268E-15;66.7;58.6;58.5;85.2
1.96431E-08;41.3;27.1;84.2;140;2.78549E-15;39;27.1;79.1;112;0;64.8;57.4;56.1;81.4
5.36925E-08;42.3;28.4;82.8;141;3.03665E-08;42.1;28.4;81.1;98.3;0;63;56.2;53.9;77.7
3.2473E-08;43.5;29.9;84.3;141;3.10991E-08;43.7;29.9;82.6;95;0;61.2;55.1;51.8;74.1
6.01788E-08;44.5;31.2;82.7;141;6.54748E-08;46.7;31.2;77.7;92.8;0;59.5;54;49.9;70.8
7.36208E-08;45.5;32.4;82;141;3.48493E-08;45.1;32.4;81.2;93.3;7.27631E-08;50.3;33.6;68.5;339
6.15639E-08;45.8;33;82.6;141;1.09369E-07;47.7;33;75.6;94.2;6.11244E-08;45.1;25.2;78.4;277
4.62202E-08;48.2;34.8;81.3;170;5.54498E-08;50.2;34.8;74.4;91.7;6.26275E-08;47;24.7;74.9;442
3.25259E-08;49.4;37.4;83.7;143;7.18591E-08;49.3;37.4;75.3;92.3;9.1098E-08;83.9;24.1;53.3;914
7.31312E-08;47.2;34.7;82.2;142;4.61389E-08;48.9;34.7;77.1;92.4;5.64995E-08;59.3;24.1;47.6;752
7.99108E-08;50.4;36.7;78.3;200;5.68714E-08;46.5;36.7;80;92.9;9.68294E-08;58.8;24;48.6;1244
5.58912E-08;47.2;34.8;82.9;142;1.09577E-07;46.8;34.8;77.8;97.9;8.31481E-08;52.5;24;61.7;987
-2.86767E-13;46.9;35;83.2;136;1.727E-10;43.7;35;83.1;103;6.06393E-11;55.5;24;67.9;119
7.43258E-09;54.6;26.7;56.2;115;-2.78549E-14;42.7;26.7;79.1;97.6;4.08804E-14;54;23.8;64.7;135
1.33756E-08;69.2;31.8;32.3;89.9;1.85699E-16;41.8;31.8;75.5;92.8;1.36268E-17;52.5;23.6;61.8;131
5.35967E-09;69.7;54.7;54.7;89.8;0;40.9;54.7;72.1;88.3;0;51.2;23.5;59.2;125
2.09053E-09;69.5;59;59.7;89.2;0;40;59;68.9;84.1;0;49.9;23.3;56.8;118
1.229E-13;67.8;59.2;59.8;85.9;0;39.2;59.2;65.9;80.2;0;48.6;23.2;54.6;112
2.72979E-07;68.7;46.8;-167.7;10199;3.85976E-07;54.8;46.8;56.9;1314;4.79992E-07;59.7;29.9;52.6;1257
1.88773E-07;69.8;48.8;-83.9;7790;3.36638E-07;53.4;48.8;66.6;90;3.98865E-07;60.4;30.3;59.5;90
1.73598E-07;68.6;47;-16.1;5650;6.82343E-08;67.4;47;33.5;96.8;4.00778E-08;69.2;35.5;36.4;89.9
6.79031E-08;59.1;44.9;68.2;1374;8.67736E-08;66.4;44.9;45.2;101;9.72368E-08;68.6;41.4;35.3;352
5.35283E-08;49.5;37.7;82.2;405;8.83037E-08;65.7;37.7;53.4;101;9.05474E-08;69.2;50.7;41.8;459
5.52673E-08;44.9;31.6;83.1;160;5.25492E-08;67.6;31.6;54.4;98;2.46373E-08;57.6;45.8;72.5;312
3.45607E-08;44.6;31.3;84.3;142;5.11305E-08;58.5;31.3;65;104;4.06583E-08;72.2;23;57.8;666
5.88183E-08;64.2;21;31.2;135;3.56663E-08;40.3;21;84.2;123;2.48757E-08;51.9;22.5;64.5;384
5.35639E-08;66.2;36.5;41.7;130;3.12718E-08;41.1;36.5;83.6;114;1.15964E-08;57;22.1;37.8;152
4.24202E-08;67.2;50.3;53.6;126;3.33665E-08;41.7;50.3;83.7;110;2.45051E-08;63.8;22.7;38.6;692
7.07162E-08;65.6;51.8;57.4;164;6.84469E-08;44.3;51.8;81.5;98.5;8.4831E-08;62.7;24;52.6;677
5.72775E-08;65.7;50.6;56.6;138;5.63755E-08;48.1;50.6;77.2;91.7;6.27678E-08;51.4;24;49.3;521
7.72218E-08;45.4;32.3;81.8;142;8.112E-08;45;32.3;80.7;96.8;6.20524E-08;61.5;24;54.6;338
3.93899E-08;48.5;35.7;82.4;153;4.58222E-08;45.6;35.7;81.1;92.2;9.52187E-08;64.5;24.1;55.8;797
5.62235E-08;50.1;37.4;81.3;168;1.11785E-07;46.8;37.4;77.4;96.8;6.41782E-08;68.5;23.9;37.7;951
7.25262E-08;46.3;33.6;82.1;142;8.32592E-08;49.9;33.6;74.7;92.8;7.60076E-08;47.4;23.9;43.5;1534
6.94471E-08;46.7;34.1;82.3;141;8.32295E-08;48.6;34.1;76.2;93.1;8.36318E-08;53.8;24;63.7;473
6.84151E-08;47;34.5;82.4;141;5.94489E-08;50.4;34.5;75.2;93.4;9.29049E-08;64.2;24.1;55.4;1280
7.70173E-11;42.4;29;84.8;141;1.90342E-11;47.1;29;80;87.4;-6.40733E-10;64.6;24;49.3;604
-1.229E-14;41.5;28.7;80.8;133;9.28497E-14;46;28.7;76.3;83.4;0;62.7;23.8;47.5;242
4.09667E-17;40.6;28.4;77.1;126;-1.85699E-16;44.9;28.4;72.8;79.6;0;60.9;23.7;45.7;144
0;39.7;28.2;73.6;119;0;43.9;28.2;69.6;75.9;0;59.2;23.5;44.1;138
0;38.9;27.9;70.3;113;0;42.9;27.9;66.6;72.5;0;57.5;23.3;42.6;131
0;38.1;27.6;67.2;107;0;41.9;27.6;63.7;69.3;0;56;23.2;41.2;124
2.81239E-07;68.8;47.5;-234.9;11234;4.0067E-07;54.4;47.5;55.3;1646;5.28073E-07;57.8;29.9;52.1;1534
1.94901E-07;69.9;49.7;-124.3;8141;3.44976E-07;52.6;49.7;67.8;90;3.93095E-07;60.8;31.9;60.6;90
1.79365E-07;69;47.9;-32.5;6139;8.05759E-08;66.9;47.9;35.1;98.4;6.37381E-08;68.7;40.8;43.8;89.9
9.30488E-08;68.1;33;27.1;1298;9.32619E-08;66.2;33;45.3;102;1.00566E-07;68.6;43.7;43.3;562
6.29842E-08;66.7;37.6;41.4;186;9.95404E-08;65.2;37.6;54.8;107;9.07982E-08;65.9;40.4;50.1;665
8.54487E-08;65.4;45.6;51.6;184;8.50169E-08;66.3;45.6;55.6;104;8.96999E-08;53.9;24.4;60.3;1015
6.10674E-08;66.6;49.4;52.8;149;7.70578E-08;66.3;49.4;57;101;8.77063E-08;56.8;24;53.6;992
2.84104E-09;69.4;53.3;54.1;89.5;1.9777E-11;68.8;53.3;73.3;88.3;2.24842E-10;38.7;23.9;74.3;219
3.5675E-08;40.7;26.2;83.7;141;1.85699E-15;66.9;26.2;70.1;84.7;5.45072E-14;38.1;23.8;70.7;177
