Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
2.83011E-09;65;64.4;63.5;88.5;-1.31332E-13;67.6;64.4;30;86.8;0;54.2;49.8;52.1;60.1
1.46505E-09;65;64.6;63.6;87.6;0;65.7;64.6;29.3;82.7;0;52.8;48.9;50.1;57.6
1.16274E-09;65;64.7;63.5;87.1;0;63.8;64.7;28.7;78.9;0;51.4;48;48.3;55.3
1.92689E-08;64.9;59.8;59.8;89.5;0;62;59.8;28.1;75.3;0;50.1;47.1;46.5;53.2
2.07038E-08;64.9;59.4;59.4;89.7;0;60.3;59.4;27.5;71.9;0;48.9;46.3;44.9;51.1
2.09549E-08;64.9;59.3;59.4;89.7;0;58.6;59.3;27;68.7;0;47.7;45.5;43.4;49.2
5.21775E-07;64.2;44.1;51.4;90.3;4.1145E-07;69.2;44.1;29.9;89.8;2.42929E-07;68.6;27.5;31.5;88.3
3.63424E-07;64.7;45.9;48.4;90;5.85741E-07;69.3;45.9;28.8;90;-1.60177E-14;66.7;28.1;31.3;84.3
1.93824E-07;64.8;52.8;54;89.8;2.33942E-07;69.4;52.8;41.4;89.9;0;64.7;27.9;30.6;80.3
2.1413E-08;64.9;59.2;59.2;89.7;1.27208E-07;69.7;59.2;53.5;89.9;0;63;27.6;29.9;76.8
5.69487E-08;64.8;57.7;58.4;89.7;4.96522E-08;69.5;57.7;66.3;89.4;4.18707E-07;68.9;20.5;21.8;89.8
2.132E-08;64.9;59.2;59.3;89.7;3.06441E-12;67.8;59.2;73.3;86.2;2.34723E-07;69.5;42.3;42.8;89.9
2.12921E-08;64.9;59.2;59.3;89.7;2.18887E-15;65.9;59.2;70.1;82.3;1.3922E-07;69.7;53.6;53.8;89.9
3.66612E-08;64.9;58.6;59.1;89.7;0;64;58.6;67;78.6;6.7397E-08;69.5;56.9;65.2;89.5
2.64826E-08;64.9;58.9;58.9;89.7;0;62.2;58.9;64.1;75;6.40707E-12;67.9;58.3;73.7;86.4
7.54781E-08;64.9;56.8;57.9;89.7;0;60.5;56.8;61.4;71.6;5.33922E-15;66;57.1;70.4;82.6
1.21171E-07;64.8;55.1;57.1;89.7;0;58.8;55.1;58.9;68.5;0;64.2;55.9;67.4;78.8
8.38406E-08;64.7;56.4;57.8;89.8;0;57.1;56.4;56.4;65.4;0;62.2;54.7;64.3;75
1.22185E-07;64.8;54.8;56.9;89.8;0;55.6;54.8;54.2;62.6;0;60.5;53.6;61.6;71.6
1.03756E-07;64.8;55.7;57.6;89.8;0;54.1;55.7;52.1;60;0;58.8;52.6;59.1;68.5
1.14502E-07;64.8;55.5;57.4;89.8;0;52.7;55.5;50.1;57.5;0;57.2;51.6;56.7;65.5
1.22053E-07;64.7;55.2;57.2;89.8;8.09705E-08;56.7;55.2;42.5;65.5;0;55.7;50.6;54.4;62.7
1.13758E-07;64.8;55.6;57.4;89.8;3.86773E-08;68.3;55.6;28.7;87.8;0;54.2;49.6;52.3;60.1
1.19248E-07;64.9;59;59.7;89.6;9.4559E-08;68.7;59;28.5;88.5;0;52.8;48.7;50.3;57.6
1.84876E-09;65;64.5;63.9;88.3;8.75547E-14;67.3;64.5;29.4;85.9;0;51.4;47.8;48.4;55.3
1.40226E-09;65;64.6;63.6;87.5;0;65.4;64.6;28.8;81.9;0;50.1;47;46.7;53.2
1.12321E-09;65;64.7;63.5;87;0;63.5;64.7;28.2;78.1;0;48.9;46.1;45;51.1
1.92713E-08;64.9;59.8;59.8;89.5;0;61.7;59.8;27.6;74.6;0;47.7;45.3;43.5;49.2
2.07177E-08;64.9;59.4;59.4;89.7;0;60;59.4;27.1;71.2;0;46.5;44.5;42;47.4
2.09735E-08;64.9;59.3;59.4;89.7;3.40868E-07;68.6;59.3;21.7;89.5;0;45.4;43.8;40.6;45.7
5.88454E-07;63.8;45.9;54.9;91.6;6.71824E-07;69.5;45.9;38.2;90;5.69914E-07;69.2;29.2;32.4;89.6
4.16242E-07;64.8;47.9;51.4;90;5.18061E-07;69.5;47.9;41.6;90;-1.60177E-12;67.7;30.2;33.1;87
3.03731E-07;64.8;50.4;52.9;89.9;1.37518E-07;69.5;50.4;61.9;89.5;5.07098E-07;68.9;20.3;22.9;89.8
